,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
25,Maruti Alto 800 LXI,2017,275000,28000,0,Individual,1,1,24.7,796,47.3,5.0
26,Chevrolet Enjoy TCDi LTZ 7 Seater,2013,300000,70000,1,Individual,1,1,18.2,1248,73.8,7.0
27,Maruti Wagon R LXI Minor,2009,220000,120000,0,Individual,1,1,18.9,1061,67.0,5.0
28,Maruti Omni E MPI STD BS IV,2018,254999,25000,0,Individual,1,1,16.8,796,34.2,8.0
29,Maruti Vitara Brezza LDi Option,2017,670000,70000,1,Individual,1,1,24.3,1248,88.5,5.0
30,Maruti Omni 8 Seater BSIV,2012,150000,35000,0,Individual,1,2,14.0,796,35.0,5.0
31,Hyundai i20 1.2 Asta Dual Tone,2018,730000,2388,0,Individual,1,1,18.6,1197,81.83,5.0
32,Maruti Vitara Brezza LDi,2017,650000,16200,1,Individual,1,1,24.3,1248,88.5,5.0
33,Maruti Alto 800 CNG LXI Optional,2019,330000,10000,2,Individual,1,2,33.44,796,40.3,4.0
34,Maruti Alto K10 VXI Airbag,2019,366000,15000,0,Individual,1,1,23.95,998,67.1,5.0
35,Hyundai Verna VTVT 1.6 SX Option,2019,1149000,5000,0,Individual,1,1,17.0,1591,121.3,5.0
36,Datsun GO D,2016,150000,42000,0,Individual,1,1,20.63,1198,67.0,5.0
37,Tata Safari DICOR 2.2 LX 4x2,2011,425000,60000,1,Individual,1,2,13.93,2179,138.03,7.0
38,Maruti 800 Std,2012,150000,76000,0,Individual,1,1,16.1,796,37.0,4.0
39,Jeep Compass 1.4 Limited Plus BSIV,2019,2100000,5000,0,Individual,0,1,16.0,1368,160.77,5.0
40,Honda City i VTEC VX,2018,925000,28900,0,Dealer,1,1,17.8,1497,117.3,5.0
41,Honda City V MT,2013,425000,86300,0,Dealer,1,1,16.8,1497,116.3,5.0
42,Maruti Swift Dzire VXi AT,2018,675000,23300,0,Dealer,0,1,18.5,1197,83.14,5.0
43,Maruti Vitara Brezza VDi,2018,819999,32600,1,Dealer,1,1,24.3,1248,88.5,5.0
44,Maruti Alto K10 VXI,2018,390000,10300,0,Dealer,1,1,23.95,998,67.05,5.0
45,Toyota Fortuner 4x4 MT,2014,1500000,77000,1,Dealer,1,1,12.55,2982,168.5,7.0
46,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,700000,99000,1,Dealer,1,1,12.99,2494,100.0,7.0
47,Mercedes-Benz B Class B180,2014,1450000,27800,1,Dealer,0,2,14.8,2143,120.7,5.0
48,Honda Amaze S Diesel,2015,425000,49800,1,Dealer,1,1,24.7,1498,98.63,5.0
49,Mitsubishi Pajero Sport 4X4,2013,1090000,151000,1,Dealer,1,1,13.5,2477,175.56,7.0
50,Honda City i DTEC S,2015,600000,54700,1,Dealer,1,1,26.0,1498,98.6,5.0
51,Maruti Ciaz Zeta,2018,850000,64000,0,Dealer,1,1,20.65,1462,103.25,5.0
52,Honda Jazz VX Diesel,2015,525000,63000,1,Dealer,1,1,27.3,1498,98.6,5.0
53,Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1650000,127700,1,Dealer,0,2,11.36,2755,171.5,7.0
54,Toyota Innova 2.5 G (Diesel) 7 Seater,2016,950000,99000,1,Dealer,1,1,12.99,2494,100.6,7.0
55,Audi A6 2.0 TDI Technology,2013,1750000,33900,1,Dealer,0,2,17.68,1968,174.33,5.0
56,Toyota Corolla Altis 1.8 VL CVT,2018,1590000,25000,0,Dealer,0,1,14.28,1798,138.03,5.0
57,Audi A6 2.0 TDI  Design Edition,2013,1689999,50000,1,Dealer,0,1,18.53,1968,187.74,5.0
58,Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,59000,1,Dealer,0,1,14.84,2143,170.0,5.0
59,Tata Manza ELAN Quadrajet BS IV,2011,265000,120000,1,Individual,1,1,21.12,1248,88.8,5.0
60,Hyundai i10 Magna,2011,190000,110000,0,Individual,1,3,20.36,1197,78.9,5.0
61,Hyundai i20 Asta 1.4 CRDi,2013,425000,60000,1,Individual,1,1,21.27,1396,88.76,5.0
62,Maruti Swift Dzire ZDI,2015,630000,147000,1,Individual,1,2,26.59,1248,74.0,5.0
63,Ford Figo 1.2P Titanium MT,2017,600000,25000,0,Individual,1,3,18.16,1196,86.8,5.0
64,Maruti Baleno Delta 1.2,2019,650000,30000,0,Individual,1,1,21.4,1197,83.1,5.0
65,Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,540000,40000,1,Individual,1,1,22.0,1498,108.495,5.0
66,Honda City i DTEC VX,2015,630000,135000,1,Individual,1,1,25.1,1498,98.6,5.0
67,Maruti Wagon R AMT VXI,2018,448000,30000,0,Individual,0,1,20.51,998,67.0,5.0
68,Volkswagen Ameo 1.5 TDI Comfortline,2017,500000,80000,1,Individual,1,1,21.66,1498,108.62,5.0
69,Maruti Vitara Brezza VDi,2016,745000,70000,1,Individual,1,1,24.3,1248,88.5,5.0
70,Maruti Vitara Brezza ZDi Plus AMT,2019,1025000,9850,1,Individual,0,1,24.3,1248,88.5,5.0
71,Hyundai i10 Magna,2011,235000,60000,0,Individual,1,2,20.36,1197,78.9,5.0
72,Maruti Swift VDI Deca,2016,630000,70000,1,Individual,1,1,25.2,1248,74.0,5.0
73,Toyota Fortuner 4x4 MT,2015,1700000,78000,1,Individual,1,2,12.55,2982,168.5,7.0
74,Maruti Swift Star VDI,2013,450000,120000,1,Individual,1,2,22.9,1248,74.0,5.0
75,Maruti Ertiga ZXI,2012,450000,120000,0,Individual,1,2,16.02,1373,93.7,7.0
76,Volkswagen Vento Diesel Highline,2013,450000,170000,1,Individual,1,1,20.54,1598,103.6,5.0
77,Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,1200000,140000,1,Individual,1,1,12.99,2494,100.6,8.0
78,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,610000,90000,1,Individual,1,1,22.77,1498,98.59,5.0
79,BMW X1 sDrive20i xLine,2016,2500000,30000,0,Individual,0,2,15.71,1998,189.0,5.0
80,Maruti Celerio ZXI MT BSIV,2017,484999,10000,0,Dealer,1,1,23.1,998,67.04,5.0
81,Datsun GO A Petrol,2016,275000,49000,0,Dealer,1,1,19.02,1198,67.05,5.0
82,Maruti Alto 800 VXI BSIV,2016,315000,32000,0,Dealer,1,1,24.7,796,47.3,5.0
83,Maruti Alto 800 LXI BSIV,2016,275000,38000,0,Dealer,1,1,24.7,796,47.3,5.0
84,Hyundai i10 Era 1.1,2012,290000,28000,0,Dealer,1,1,19.81,1086,68.05,5.0
85,Maruti Omni 8 Seater BSIV,2017,280000,32000,0,Dealer,1,1,14.0,796,35.0,5.0
86,Maruti Wagon R LXI LPG BSIV,2010,225000,44000,3,Dealer,1,1,26.2,998,58.2,5.0
87,Volkswagen Polo 1.2 MPI Comfortline,2015,455000,42000,0,Dealer,1,1,16.47,1198,74.0,5.0
88,Hyundai i10 Magna 1.1L,2015,351000,45000,0,Dealer,1,2,19.81,1086,68.05,5.0
89,Volkswagen Vento Petrol Highline,2012,535000,12000,0,Dealer,1,2,15.04,1598,103.6,5.0
90,Maruti Zen Estilo LXI BSIII,2009,175000,55500,0,Dealer,1,1,18.2,998,67.1,5.0
91,Hyundai i20 Asta Optional with Sunroof 1.2,2013,525000,61500,0,Dealer,1,1,18.5,1197,82.85,5.0
92,Maruti Swift Dzire LDI,2016,600000,150000,1,Individual,1,1,26.59,1248,74.0,5.0
93,Hyundai Xcent 1.2 Kappa SX Option AT,2016,565000,72000,0,Dealer,0,1,19.1,1197,82.0,5.0
94,Maruti Alto LX BSIII,2008,120000,68000,0,Dealer,1,3,19.7,796,46.3,5.0
95,Hyundai i20 1.4 Asta Option,2017,725000,110000,1,Individual,1,1,22.54,1396,88.73,5.0
96,Maruti Wagon R VXI,2009,185000,77000,0,Dealer,1,2,21.79,998,67.05,5.0
97,Tata Manza Aura (ABS) Quadrajet,2010,200000,100000,1,Individual,1,2,18.8,1248,90.0,5.0
98,Maruti Swift VXI,2019,615000,10000,0,Individual,1,1,21.21,1197,81.8,5.0
99,Maruti Eeco 7 Seater Standard BSIV,2016,270000,100000,0,Individual,1,3,15.37,1196,73.0,7.0
100,Maruti Baleno Zeta 1.2,2018,610000,35000,0,Individual,1,1,21.4,1197,83.1,5.0
101,Mahindra Scorpio VLX AT AIRBAG BSIV,2014,625000,70000,1,Individual,0,2,11.79,2179,120.0,8.0
102,Ford Freestyle Titanium Petrol BSIV,2020,400000,5000,0,Individual,1,2,19.0,1194,94.68,5.0
103,Hyundai Verna VTVT 1.6 SX,2017,866000,37800,0,Individual,1,1,17.0,1591,121.3,5.0
104,Volkswagen Passat 1.8 TSI MT,2010,700000,114000,0,Individual,1,1,14.3,1798,160.0,5.0
105,Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,300000,48000,0,Individual,1,1,15.8,1172,65.0,5.0
106,Mahindra XUV500 W11 Option AWD,2019,1700000,32000,1,Individual,1,1,15.1,2179,155.0,7.0
107,Tata Indigo CS LS (TDI) BS-III,2016,375000,100000,1,Individual,1,1,19.09,1405,69.01,5.0
108,Hyundai Verna 1.6 SX,2013,522000,150000,1,Individual,1,2,22.32,1582,126.32,5.0
109,Hyundai i20 Magna 1.4 CRDi (Diesel),2013,451999,69000,1,Individual,1,1,21.9,1396,88.76,5.0
110,Toyota Corolla Altis G,2009,300000,100000,0,Individual,1,2,14.53,1798,138.1,5.0
111,Maruti Celerio VXI,2020,475000,13000,0,Individual,1,1,21.63,998,67.04,5.0
112,Maruti Vitara Brezza ZDi Plus Dual Tone,2016,780000,60000,1,Individual,1,1,24.3,1248,88.5,5.0
113,Maruti Swift Dzire VXI,2017,595000,40000,0,Individual,1,1,20.85,1197,83.14,5.0
114,Maruti Wagon R VXI BS IV,2017,440000,35000,0,Individual,1,1,20.51,998,67.04,5.0
115,Nissan Terrano XL 85 PS,2014,400000,70000,1,Individual,1,3,20.45,1461,83.8,5.0
116,Hyundai Creta 1.6 CRDi SX,2016,1140000,50000,1,Individual,1,1,19.67,1582,126.2,5.0
117,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,850000,76139,1,Individual,1,1,23.0,1498,98.96,5.0
118,Maruti Swift Dzire VDi,2012,370000,175000,1,Individual,1,3,19.3,1248,73.9,5.0
119,Renault KWID 1.0,2018,350000,25000,0,Individual,1,1,23.01,999,67.0,5.0
120,Maruti Celerio VXI,2015,360000,40000,0,Individual,1,2,23.1,998,67.04,5.0
121,Maruti Alto LXi,2008,105000,65000,0,Individual,1,3,19.7,796,46.3,5.0
122,Maruti Ertiga VDI,2013,625000,90000,1,Individual,1,2,20.77,1248,88.76,7.0
123,Hyundai Santro Xing GLS,2009,135000,80000,0,Individual,1,2,17.92,1086,62.1,5.0
124,Maruti Ertiga VDI,2015,700000,110000,1,Individual,1,2,20.77,1248,88.76,7.0
125,Honda Amaze S i-VTEC,2019,690000,1303,0,Dealer,1,1,17.8,1198,86.7,5.0
126,Audi Q5 35TDI Premium Plus,2018,3975000,31800,1,Dealer,0,1,17.01,1968,188.0,5.0
127,Lexus ES 300h,2019,5150000,20000,0,Dealer,0,1,22.37,2487,214.56,5.0
128,Jaguar XF 2.0 Diesel Portfolio,2017,3200000,45000,1,Dealer,0,1,19.33,1999,177.0,5.0
129,Jeep Wrangler 2016-2019 3.6 4X4,2017,4100000,17000,0,Individual,0,1,9.5,3604,280.0,5.0
130,Land Rover Discovery Sport TD4 SE,2019,4500000,21000,1,Dealer,0,1,12.83,1999,148.31,7.0
131,Mercedes-Benz S-Class S 350 CDI,2017,6000000,37000,1,Dealer,0,1,13.5,2987,254.79,5.0
132,BMW 5 Series 520d Sport Line,2018,3790000,29500,1,Dealer,0,1,22.48,1995,187.74,5.0
133,BMW X4 M Sport X xDrive20d,2019,5800000,7500,1,Dealer,0,1,16.78,1995,190.0,5.0
134,Skoda Superb LK 1.8 TSI AT,2018,1864999,50000,0,Dealer,0,1,14.67,1798,177.46,5.0
135,Mercedes-Benz E-Class E250 Edition E,2016,2700000,35000,1,Dealer,0,1,15.0,2143,204.0,5.0
136,MG Hector Sharp AT BSIV,2019,1750000,19000,0,Dealer,0,1,13.96,1451,141.0,5.0
137,Honda City i-VTEC CVT VX,2017,795000,41000,0,Dealer,0,1,18.0,1497,117.6,5.0
138,Toyota Corolla Altis 1.8 G CVT,2013,625000,39000,0,Dealer,0,1,14.28,1798,138.03,5.0
139,Volvo XC40 D4 R-Design,2018,3400000,22000,1,Dealer,0,1,18.0,1969,190.0,5.0
140,Audi Q7 35 TDI Quattro Premium,2015,2650000,53000,1,Dealer,0,1,12.07,2967,241.4,7.0
141,Maruti Ciaz ZDi,2015,535000,40000,1,Dealer,1,1,26.21,1248,88.5,5.0
142,Mercedes-Benz S-Class S 350 CDI,2017,5850000,47000,1,Dealer,0,1,13.5,2987,282.0,5.0
143,BMW 5 Series 523i,2010,975000,72200,0,Dealer,0,2,10.8,2497,150.0,5.0
144,Hyundai Elantra S,2016,805000,49900,0,Dealer,1,1,16.3,1797,147.5,5.0
145,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,2625000,9000,1,Dealer,0,1,13.6,1999,177.0,5.0
146,Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018,811000,11000,0,Dealer,1,1,17.0,1198,108.5,5.0
147,Volkswagen Vento Petrol Highline,2011,375000,49000,0,Individual,1,1,15.04,1598,103.6,5.0
148,Hyundai Elantra SX,2012,550000,95000,0,Individual,1,1,16.3,1797,147.5,5.0
149,Skoda Rapid 1.6 MPI AT Elegance,2016,645000,11000,0,Dealer,0,1,14.3,1598,103.5,5.0
150,Mercedes-Benz CLA 200 CGI Sport,2018,2550000,18000,0,Dealer,0,1,15.04,1991,183.0,5.0
151,Maruti Ertiga ZXI,2014,599000,46100,0,Dealer,1,1,16.02,1373,93.7,7.0
152,Mercedes-Benz New C-Class C 200 AVANTGARDE,2017,2700000,16000,0,Dealer,0,1,14.74,1991,181.04,5.0
153,Honda City V AT,2017,875000,18000,0,Dealer,0,1,15.6,1497,116.3,5.0
154,Toyota Glanza V CVT,2019,894999,9654,0,Dealer,0,1,19.56,1197,81.8,5.0
155,Maruti Alto K10 VXI,2011,175000,11000,0,Dealer,1,1,23.95,998,67.05,5.0
156,Maruti Swift VXI,2012,340000,24300,0,Dealer,1,1,21.21,1197,81.8,5.0
157,Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1525000,42163,1,Dealer,0,2,11.36,2755,171.5,7.0
158,Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,1025000,8000,1,Dealer,0,1,21.5,1497,108.5,5.0
159,BMW 3 Series 320d Luxury Line,2016,2150000,30000,1,Dealer,0,1,22.69,1995,190.0,5.0
160,Toyota Camry 2.5 Hybrid,2016,1900000,41000,0,Dealer,0,1,19.16,2494,157.7,5.0
161,BMW 5 Series 520d Luxury Line,2016,2900000,12000,1,Dealer,0,1,18.12,1995,190.0,5.0
162,Toyota Camry W4 (AT),2009,450000,71000,0,Dealer,0,1,12.1,2362,164.7,5.0
163,Maruti Ertiga BSIV ZXI Plus,2016,850000,20000,0,Individual,1,1,17.5,1373,91.1,7.0
164,Volvo XC90 T8 Excellence BSIV,2017,10000000,30000,0,Individual,0,1,42.0,1969,400.0,4.0
165,Volkswagen Vento Diesel Highline,2011,300000,100000,1,Individual,1,2,20.54,1598,103.6,5.0
166,Ford Figo Aspire 1.2 Ti-VCT Trend,2018,575000,9500,0,Individual,1,1,18.16,1196,86.8,5.0
167,Ford Figo Diesel LXI,2011,160000,120000,1,Individual,1,1,20.0,1399,68.0,5.0
168,Maruti Swift VXI Optional,2015,515000,36600,0,Individual,1,1,20.4,1197,81.8,5.0
169,Maruti Wagon R AMT VXI,2015,390000,50000,0,Individual,0,2,20.51,998,67.0,5.0
170,Hyundai i20 Magna 1.2,2016,550000,14000,0,Individual,1,2,18.6,1197,81.83,5.0
171,Maruti 800 Std,1999,40000,40000,0,Individual,1,2,16.1,796,37.0,4.0
172,Maruti Ritz VDi,2010,220000,120000,1,Individual,1,1,21.1,1248,73.9,5.0
173,Hyundai Grand i10 Magna,2015,425000,70000,0,Individual,1,1,18.9,1197,82.0,5.0
174,Volkswagen Ameo 1.0 MPI Trendline,2019,480000,13000,0,Individual,1,1,19.44,999,75.0,5.0
175,Hyundai Grand i10 Sportz,2014,400000,60000,0,Individual,1,2,18.9,1197,82.0,5.0
176,Maruti Swift Dzire VXI,2014,487000,35000,0,Individual,1,1,19.1,1197,85.8,5.0
177,Hyundai Xcent 1.2 Kappa S,2016,386000,44000,0,Individual,1,2,19.1,1197,82.0,5.0
178,Honda City 1.5 EXI,2005,100000,120000,0,Individual,1,2,13.0,1493,100.0,5.0
179,Toyota Corolla Altis Diesel D4DG,2010,300000,60000,1,Individual,1,1,21.43,1364,87.2,5.0
180,Daewoo Matiz SD,2000,100000,60000,0,Individual,1,1,18.5,796,53.0,5.0
181,Toyota Fortuner 4x2 Manual,2014,1750000,30000,1,Individual,1,2,13.0,2982,168.5,7.0
182,Mahindra KUV 100 mFALCON G80 K8,2016,450000,15000,0,Individual,1,2,18.15,1198,82.0,6.0
183,Tata Zest Quadrajet 1.3 75PS XM,2017,490000,90000,1,Individual,1,1,22.95,1248,74.0,5.0
184,Honda City 1.5 S MT,2009,345000,47000,0,Individual,1,2,17.0,1497,118.0,5.0
185,Maruti Zen LXI,2005,85000,90000,0,Individual,1,1,17.3,993,60.0,5.0
186,Maruti Wagon R VXI BS IV with ABS,2010,215000,120600,0,Individual,1,2,18.9,998,67.1,5.0
187,Hyundai Verna Transform SX VTVT,2010,320000,100000,0,Individual,1,3,16.2,1599,103.2,5.0
188,Maruti Swift Dzire VXI,2016,459999,60000,0,Individual,1,2,20.85,1197,83.14,5.0
189,Hyundai Getz GLS,2005,65000,86000,0,Individual,1,1,15.3,1341,83.0,5.0
190,Hyundai Elite i20 Sportz Plus BSIV,2020,720000,5000,0,Individual,1,1,18.6,1197,81.86,5.0
191,Maruti Ciaz 1.3 Alpha,2017,800000,37000,1,Individual,1,1,28.09,1248,88.5,5.0
192,Tata Tigor 1.2 Revotron XZ,2019,520000,14000,0,Individual,1,1,20.3,1199,84.0,5.0
193,Maruti Ertiga VDI,2015,580000,70000,1,Individual,1,1,20.77,1248,88.76,7.0
194,Honda City i VTEC S,2015,600000,50000,0,Individual,1,1,17.4,1497,117.3,5.0
195,Honda Brio S MT,2014,290000,60000,0,Individual,1,2,19.4,1198,86.8,5.0
196,Maruti Wagon R LXI CNG,2016,360000,50000,2,Individual,1,1,26.6,998,58.16,5.0
197,Maruti Swift Dzire VXI,2017,550000,50000,0,Individual,1,1,20.85,1197,83.14,5.0
198,Hyundai i20 Sportz 1.2,2013,375000,70000,0,Individual,1,1,18.5,1197,82.85,5.0
199,Maruti Wagon R AMT VXI,2018,420000,35000,0,Individual,0,1,20.51,998,67.0,5.0
200,Maruti Swift Dzire VXI 1.2,2017,550000,20000,0,Individual,1,1,21.21,1197,81.8,5.0
201,Maruti Alto 800 LXI,2018,270000,20000,0,Individual,1,1,24.7,796,47.3,5.0
202,Maruti Swift Dzire AMT VXI BS IV,2018,700000,7800,0,Individual,0,1,22.0,1197,81.8,5.0
203,Maruti Swift VXI Optional,2017,500000,20000,0,Individual,1,1,20.4,1197,81.8,5.0
204,Tata Hexa XE,2019,1250000,15000,1,Individual,1,1,17.6,2179,147.94,7.0
205,Hyundai i20 Magna,2013,320000,31377,0,Individual,1,2,18.5,1197,82.85,5.0
206,Maruti Swift Dzire VDI,2018,700000,50000,1,Individual,1,1,28.4,1248,74.02,5.0
207,Maruti Wagon R VXI BS IV,2015,290000,60000,0,Individual,1,1,20.51,998,67.04,5.0
208,Toyota Corolla Altis 1.8 VL AT,2012,550000,100000,0,Individual,0,1,14.53,1794,138.1,5.0
209,Honda Brio S MT,2012,265000,60000,0,Individual,1,1,19.4,1198,86.8,5.0
210,Maruti Baleno Alpha Automatic,2018,830000,5000,0,Individual,0,1,21.4,1197,83.1,5.0
211,Tata Safari Storme EX,2017,800000,60000,1,Individual,1,1,14.1,2179,147.94,7.0
212,Maruti Alto LXi,2011,160000,25000,0,Individual,1,2,19.7,796,46.3,5.0
213,Renault KWID RXT,2018,335000,30000,0,Individual,1,1,25.17,799,53.3,5.0
214,Datsun GO T BSIV,2017,329000,80000,0,Individual,1,2,20.63,1198,67.0,5.0
215,Maruti Vitara Brezza VDi Option,2017,775000,75000,1,Individual,1,1,24.3,1248,88.5,5.0
216,Hyundai Xcent 1.2 VTVT SX,2020,524000,32000,0,Individual,1,1,20.14,1197,81.86,5.0
217,Maruti Alto 800 LXI,2015,245000,40000,0,Individual,1,1,22.74,796,47.3,5.0
218,Hyundai i20 1.2 Sportz,2012,275000,93000,0,Individual,1,2,17.0,1197,80.0,5.0
219,Tata Zest Revotron 1.2 XT,2018,520000,60000,0,Individual,1,1,17.57,1193,88.7,5.0
220,Nissan Sunny XL,2014,550000,37000,0,Individual,1,1,16.95,1498,97.7,5.0
221,Ford EcoSport 1.5 Petrol Titanium Plus BSIV,2018,910000,15000,0,Individual,1,1,17.0,1497,121.36,5.0
222,Nissan Micra Active XV S,2015,300000,80000,0,Individual,1,1,19.49,1198,67.04,5.0
223,Maruti Wagon R LXI Optional,2016,350000,140000,0,Individual,1,1,20.51,998,67.04,5.0
224,Mahindra Ssangyong Rexton RX5,2013,900000,70000,1,Individual,1,1,12.83,2696,162.0,7.0
225,Mahindra Quanto C8,2013,300000,120000,1,Individual,1,2,17.21,1493,100.0,7.0
226,Maruti Ritz LDi,2010,250000,110000,1,Individual,1,2,21.1,1248,73.9,5.0
227,Hyundai Creta 1.6 CRDi SX Plus Dual Tone,2017,1100000,37000,1,Individual,1,1,19.67,1582,126.2,5.0
228,Renault KWID RXT,2016,270000,44000,0,Individual,1,1,25.17,799,53.3,5.0
229,Maruti Ertiga VDI,2015,640000,80000,1,Individual,1,1,20.77,1248,88.76,7.0
230,Mahindra XUV500 W4,2015,650000,125000,1,Individual,1,1,15.1,2179,140.0,7.0
231,Maruti Eeco 5 Seater AC BSIV,2017,409999,13500,0,Individual,1,1,15.37,1196,73.0,5.0
232,Hyundai Santro Xing GLS,2011,165000,75000,0,Individual,1,1,17.92,1086,62.1,5.0
233,Hyundai Accent GLE,2007,80000,120000,0,Individual,1,2,13.2,1495,94.0,5.0
234,Mahindra XUV500 W8 2WD,2012,535000,120000,1,Individual,1,1,15.1,2179,140.0,7.0
235,Toyota Innova 2.5 EV (Diesel) PS 7 Seater BS IV,2013,700000,70000,1,Individual,1,1,12.99,2494,100.57,7.0
236,Maruti Swift Dzire VDI,2013,550000,70000,1,Individual,1,1,23.4,1248,74.0,5.0
237,Honda Amaze S CVT Petrol BSIV,2019,680000,15000,0,Individual,0,1,19.0,1199,88.76,5.0
238,Hyundai i10 Sportz 1.2,2009,200000,53000,0,Individual,1,2,20.36,1197,78.9,5.0
239,Maruti Swift Dzire VDI,2014,500000,120000,1,Individual,1,2,23.4,1248,74.0,5.0
240,Maruti Ertiga SHVS ZDI Plus,2016,1000000,70000,1,Individual,1,1,24.52,1248,88.5,7.0
241,Hyundai Getz 1.3 GVS,2008,110000,120000,0,Individual,1,2,14.2,1341,82.9,5.0
242,Hyundai i20 1.2 Magna,2012,320000,100000,0,Individual,1,2,18.5,1197,80.0,5.0
243,Maruti Swift LXI Optional-O,2015,350000,100000,0,Individual,1,1,20.4,1197,83.11,5.0
244,Tata Indica Vista TDI LS,2013,170000,162500,1,Individual,1,1,19.4,1405,70.0,5.0
245,Hyundai i20 2015-2017 Asta 1.4 CRDi,2017,800000,39000,1,Individual,1,1,22.54,1396,88.73,5.0
246,Maruti Ignis 1.3 Alpha,2017,500000,75000,1,Individual,1,1,26.8,1248,74.0,5.0
247,Tata Hexa XTA,2017,1380000,50000,1,Individual,0,1,17.6,2179,153.86,7.0
248,Mahindra Marazzo M6 8Str,2019,1300000,40000,1,Individual,1,1,17.3,1497,121.0,8.0
249,Hyundai Verna 1.6 CRDI,2013,530000,92500,1,Individual,1,1,22.32,1582,126.3,5.0
250,Maruti Swift Dzire VDI,2012,360000,158000,1,Individual,1,1,23.4,1248,74.0,5.0
251,Maruti Swift Dzire LDi,2012,310000,120000,1,Individual,1,1,19.3,1248,73.9,5.0
252,Honda City i DTEC V,2015,725000,50000,1,Individual,1,2,26.0,1498,98.6,5.0
253,Maruti Swift Dzire ZDi,2012,340000,110000,1,Individual,1,1,19.3,1248,73.9,5.0
254,Hyundai Xcent 1.2 CRDi E,2017,550000,2000,1,Individual,1,2,25.4,1186,73.97,5.0
255,Toyota Fortuner 3.0 Diesel,2011,1150000,181000,1,Individual,1,2,11.5,2982,171.0,7.0
256,Tata Tiago 1.05 Revotorq XZ,2016,380000,70000,1,Individual,1,1,27.28,1047,69.0,5.0
257,Nissan Sunny XL AT Special Edition,2013,350000,90000,0,Individual,0,2,17.97,1498,99.6,5.0
258,Hyundai Elite i20 Magna Plus BSIV,2019,610000,2000,0,Individual,1,1,18.6,1197,81.86,5.0
